Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.85307E-4,22.295177846,0.523447217,0.224479732,0.189054726,0.212121212
1.85978E-4,22.518021855,0.524724869,0.223296183,0.189054726,0.212121212
1.86547E-4,22.760148265,0.525805625,0.222014005,0.189054726,0.212121212
1.89074E-4,23.004024902,0.530573349,0.220731828,0.189054726,0.212121212
1.92327E-4,23.252309407,0.536641759,0.21944965,0.194029851,0.212121212
1.95447E-4,23.523749776,0.542387857,0.218068843,0.199004975,0.212121212
1.96901E-4,23.759077925,0.545042597,0.216885294,0.2039801,0.212121212
2.00207E-4,24.017350307,0.551017547,0.215603117,0.2039801,0.212121212
2.02907E-4,24.259479953,0.555840125,0.214419568,0.208955224,0.212121212
2.04464E-4,24.504016759,0.558598822,0.213236019,0.213930348,0.212121212
2.05965E-4,24.750409984,0.561240158,0.212052471,0.223880597,0.212121212
2.08205E-4,25.019880304,0.565152782,0.210770293,0.233830846,0.212121212
2.08996E-4,25.291000194,0.566527627,0.209488115,0.23880597,0.227272727
2.09592E-4,25.50036224,0.567559325,0.208501825,0.243781095,0.242424242
2.10589E-4,25.794607732,0.569279872,0.207121018,0.243781095,0.242424242
2.1149E-4,26.005782579,0.570829466,0.206134727,0.243781095,0.242424242
2.1208E-4,26.259943343,0.571841932,0.204951179,0.243781095,0.242424242
2.15169E-4,26.516068825,0.577098605,0.20376763,0.243781095,0.242424242
2.17758E-4,26.754136984,0.58145545,0.20268271,0.253731343,0.242424242
2.19952E-4,27.016694937,0.585112401,0.201499162,0.253731343,0.242424242
2.22348E-4,27.259906753,0.589069767,0.200414242,0.253731343,0.242424242
2.24628E-4,27.505868957,0.592799622,0.199329322,0.253731343,0.242424242
2.27903E-4,27.755402652,0.598099329,0.198244403,0.253731343,0.257575758
2.29437E-4,28.006757109,0.600556715,0.197159483,0.258706468,0.272727273
2.31335E-4,28.260227489,0.603578484,0.196074564,0.273631841,0.287878788
2.32837E-4,28.515685439,0.605952007,0.194989644,0.273631841,0.287878788
2.34611E-4,28.762214861,0.608738323,0.193904724,0.278606965,0.287878788
2.35391E-4,29.008015564,0.609957755,0.192918434,0.28358209,0.303030303
2.36822E-4,29.315016138,0.612183608,0.191636256,0.288557214,0.303030303
2.37714E-4,29.52866468,0.61356449,0.190748595,0.293532338,0.303030303
2.38858E-4,29.766991442,0.615328656,0.189762304,0.293532338,0.303030303
2.3956E-4,30.006146426,0.616406954,0.188776013,0.298507463,0.303030303
2.40224E-4,30.270092878,0.617424891,0.187691094,0.298507463,0.303030303
2.4213E-4,30.511125964,0.620329695,0.186704803,0.298507463,0.303030303
2.4436E-4,30.754376875,0.623701168,0.185718513,0.303482587,0.303030303
2.47386E-4,31.000353937,0.628228127,0.184732222,0.303482587,0.318181818
2.51603E-4,31.27482522,0.634446507,0.183647302,0.303482587,0.318181818
2.53414E-4,31.501888231,0.637084875,0.182759641,0.303482587,0.318181818
2.55535E-4,31.756420756,0.640150386,0.18177335,0.303482587,0.318181818
2.56888E-4,32.012804657,0.642093069,0.18078706,0.308457711,0.318181818
2.58478E-4,32.270339749,0.644360938,0.179800769,0.308457711,0.318181818
2.59466E-4,32.503472418,0.64576443,0.178913108,0.308457711,0.318181818
2.61292E-4,32.763852556,0.648341412,0.177926817,0.308457711,0.318181818
2.62183E-4,33.025598263,0.649592532,0.176940527,0.313432836,0.318181818
2.63506E-4,33.262209907,0.651441951,0.176052865,0.313432836,0.318181818
2.64808E-4,33.50022544,0.653252558,0.175165204,0.313432836,0.318181818
2.65355E-4,33.765309601,0.654010932,0.174178913,0.313432836,0.318181818
2.66446E-4,34.031366514,0.655517231,0.173192623,0.313432836,0.318181818
2.66716E-4,34.324595011,0.655888243,0.172107703,0.313432836,0.318181818
2.67724E-4,34.511652995,0.657273687,0.1714173,0.313432836,0.318181818
2.69967E-4,34.75388322,0.66033477,0.170529638,0.31840796,0.318181818
2.72096E-4,35.025067674,0.663215034,0.169543347,0.31840796,0.333333333
2.73608E-4,35.270921998,0.665245401,0.168655686,0.31840796,0.333333333
2.75286E-4,35.518098905,0.667484404,0.167768024,0.31840796,0.333333333
2.76743E-4,35.766799663,0.669415947,0.166880363,0.31840796,0.333333333
2.77968E-4,36.016519583,0.671032083,0.165992701,0.323383085,0.333333333
2.79955E-4,36.267990771,0.673636682,0.16510504,0.328358209,0.348484848
2.8265E-4,36.52126917,0.677135311,0.164217378,0.333333333,0.363636364
2.83391E-4,36.804363354,0.678090306,0.163231088,0.333333333,0.363636364
2.84185E-4,37.002968659,0.679111739,0.162540684,0.333333333,0.363636364
2.8558E-4,37.259344328,0.680896597,0.161653023,0.343283582,0.363636364
2.87731E-4,37.51753512,0.683630981,0.160765361,0.348258706,0.363636364
2.89582E-4,37.777534566,0.68596415,0.1598777,0.348258706,0.363636364
2.91291E-4,38.009967937,0.688103405,0.159088668,0.348258706,0.363636364
2.92116E-4,38.301855378,0.689130647,0.158102377,0.348258706,0.363636364
2.9328E-4,38.50674218,0.690574536,0.157411974,0.348258706,0.363636364
2.94816E-4,38.771655287,0.692469897,0.156524312,0.353233831,0.363636364
2.96352E-4,39.008318024,0.694353182,0.15573528,0.36318408,0.363636364
2.98641E-4,39.27602741,0.697138903,0.154847618,0.36318408,0.363636364
2.99473E-4,39.515342832,0.698144814,0.154058586,0.36318408,0.363636364
3.00335E-4,39.755383426,0.69918407,0.153269553,0.36318408,0.363636364
3.0121E-4,40.02620299,0.700234859,0.152381892,0.36318408,0.363636364
3.02184E-4,40.267534702,0.70140105,0.151592859,0.373134328,0.363636364
3.03295E-4,40.509727087,0.702724458,0.150803827,0.378109453,0.378787879
3.04074E-4,40.752591045,0.703649709,0.150014794,0.378109453,0.378787879
3.05564E-4,41.026906426,0.705410137,0.149127133,0.378109453,0.378787879
3.06508E-4,41.271771835,0.706520505,0.1483381,0.378109453,0.378787879
3.07689E-4,41.517599552,0.707903335,0.147549068,0.383084577,0.378787879
3.0942E-4,41.764567876,0.709918638,0.146760036,0.383084577,0.393939394
3.09911E-4,42.012333286,0.710488422,0.145971003,0.388059701,0.393939394
3.10606E-4,42.260493558,0.711291547,0.145181971,0.388059701,0.393939394
3.11521E-4,42.509347905,0.712346683,0.144392938,0.393034826,0.393939394
3.12409E-4,42.759032281,0.71336658,0.143603906,0.393034826,0.393939394
